Date,Price,Open,High,Low,Vol.,Change %
"Jun 17, 2018",474.14,496.95,547.50,450.72,7.04M,-4.59%
"Jun 10, 2018",496.93,593.80,593.82,450.67,9.19M,-16.31%
"Jun 03, 2018",593.80,591.33,627.51,577.53,5.11M,0.42%
"May 27, 2018",591.30,586.63,598.78,507.72,7.42M,0.77%
"May 20, 2018",586.76,696.73,722.92,547.39,7.28M,-15.79%
"May 13, 2018",696.76,684.77,741.52,658.25,7.00M,1.87%
"May 06, 2018",683.94,818.75,838.26,635.23,9.45M,-16.42%
"Apr 29, 2018",818.33,683.49,830.03,630.33,7.47M,19.73%
"Apr 22, 2018",683.49,605.58,711.74,591.78,9.39M,12.86%
"Apr 15, 2018",605.59,502.52,623.86,498.87,7.30M,20.51%
"Apr 08, 2018",502.52,384.85,528.71,384.85,7.87M,30.57%
"Apr 01, 2018",384.87,394.10,418.78,359.49,6.45M,-2.31%
"Mar 25, 2018",393.96,520.44,535.11,366.12,9.05M,-24.30%
"Mar 18, 2018",520.45,549.96,589.83,454.90,8.50M,-5.42%
"Mar 11, 2018",550.27,682.77,739.25,544.51,5.37M,-19.38%
"Mar 04, 2018",682.52,855.91,870.27,644.46,5.08M,-20.26%
"Feb 25, 2018",855.91,834.10,894.78,818.46,3.63M,2.58%
"Feb 18, 2018",834.36,971.57,980.27,787.95,5.61M,-14.12%
"Feb 11, 2018",971.54,851.44,972.86,778.90,5.82M,14.11%
"Feb 04, 2018",851.39,971.49,972.66,568.78,13.83M,-12.36%
"Jan 28, 2018",971.49,1114.70,1264.80,766.82,9.42M,-12.86%
"Jan 21, 2018",1114.80,1146.30,1146.30,905.38,4.35M,-2.72%
"Jan 14, 2018",1146.00,1379.90,1385.00,770.10,8.35M,-16.96%
"Jan 07, 2018",1380.00,1004.30,1423.20,968.12,7.31M,37.41%
"Dec 31, 2017",1004.30,682.22,1023.60,675.56,6.23M,47.21%
"Dec 24, 2017",682.22,672.59,766.06,560.00,5.52M,1.43%
"Dec 17, 2017",672.59,683.25,863.00,492.01,10.27M,-1.56%
"Dec 10, 2017",683.25,460.92,760.00,413.30,9.24M,48.24%
"Dec 03, 2017",460.92,455.51,487.80,390.00,6.23M,1.19%
"Nov 26, 2017",455.51,464.00,517.00,385.40,3.86M,-1.83%
"Nov 19, 2017",464.00,346.68,481.99,343.28,4.74M,33.84%
"Nov 12, 2017",346.68,313.07,350.40,293.33,4.59M,10.74%
"Nov 05, 2017",313.07,299.48,328.80,285.01,5.48M,4.54%
"Oct 29, 2017",299.48,293.49,314.40,275.21,3.84M,2.04%
"Oct 22, 2017",293.49,299.23,311.85,273.50,2.71M,-1.92%
"Oct 15, 2017",299.23,339.24,355.00,287.46,4.57M,-11.79%
"Oct 08, 2017",339.24,311.46,350.00,287.03,4.29M,8.92%
"Oct 01, 2017",311.46,303.44,315.00,285.12,2.80M,2.64%
"Sep 24, 2017",303.44,285.90,315.51,275.41,4.37M,6.14%
"Sep 17, 2017",285.90,253.00,299.89,239.00,5.70M,13.00%
"Sep 10, 2017",253.00,303.08,316.73,198.00,10.66M,-16.52%
"Sep 03, 2017",303.08,345.00,368.40,267.64,7.14M,-12.15%
"Aug 27, 2017",345.00,332.72,395.03,325.10,3.93M,3.69%
"Aug 20, 2017",332.72,292.78,346.99,285.01,3.74M,13.64%
"Aug 13, 2017",292.78,307.22,312.00,272.29,3.71M,-4.70%
